Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Mathieu Ducas,M,SBD,Raw,Juniors,83,155.0,95.0,165.0,415.0
Alexas McBride,F,SBD,Raw,FR-Jr,63,115.0,60.0,125.0,300.0
Kelvin Brown,M,SBD,Raw,MR-M4,83,100.0,57.5,115.0,272.5
Carmella Mattingly,F,SBD,Raw,FR-M1,57,-125.0,67.5,142.5,85.0
William Melson,M,SBD,Raw,MR-O,83,142.9,86.2,152.0,381.1
Carlos Burgos,M,SBD,Raw,Masters 2,74,165.0,110.0,220.0,495.0
Leonardo Blažeković,M,SBD,Raw,Juniors,83,-210.0,120.0,230.0,140.0
Jan Tuszyński,M,SBD,Raw,Juniorzy do lat 16,120+,175.0,100.0,175.0,450.0
Zi Ting Leow,F,SBD,Raw,F-O,69,107.5,77.5,130.0,315.0
Ioan Ordean,M,SBD,Single-ply,Junior II,120,180.0,110.0,190.0,480.0
Lucy Hyde,F,SBD,Raw,F-C-Open,84,100.0,80.0,137.5,317.5
Brian Morrison,M,SBD,Raw,MR-M1,83,175.0,130.0,202.5,507.5
Lucas Chelles,M,SBD,Raw,Open,66,175.0,-117.5,-190.0,-132.5
Ole Vaagan Thorsen,M,SBD,Raw,Open,83,180.0,125.0,205.0,510.0
Keyla Sarai Quintanar Cano,F,SBD,Raw,Open,57,85.0,50.0,110.0,245.0
Henrik Kolve Thunes,M,SBD,Raw,Open,105,160.0,85.0,207.5,452.5
Gope Seema,F,SBD,Single-ply,Open,75,130.0,80.0,140.0,350.0
Andrew Gardelle,M,SBD,Raw,MR-O,120,180.0,125.0,195.0,500.0
Arkadiusz Rak,M,SBD,Raw,Seniorzy,93,145.0,120.0,200.0,465.0
Jules B Colding,M,SBD,Raw,Masters 2,93,155.0,120.0,190.0,465.0
Kristen Tarrin,F,SBD,Raw,FR-M1,84+,60.0,55.0,87.5,202.5
Steve Labson,M,SBD,Raw,MR-O,83,125.0,130.0,165.0,420.0
Kenji Sasaki,M,SBD,Single-ply,Masters 3,100,240.0,160.0,245.0,645.0
Monzolesso Bagah-Kognagba,M,SBD,Raw,MR-O,83,-190.0,-117.5,260.0,-47.5
Byron Pratt,M,SBD,Raw,MR-M,93,145.0,125.0,167.5,437.5
Valentin Pellerin,M,SBD,Raw,Seniors,59,120.0,-80.0,140.0,180.0
Griffin Johns,M,SBD,Raw,Sub-Juniors,83,150.0,95.0,200.0,445.0
Shu Min Ng,F,SBD,Raw,Open,52,102.5,50.0,115.0,267.5
Vahap Özdemir,M,SBD,Raw,MR-Jr,74,145.0,97.5,187.5,430.0
Alexander Pennie,M,SBD,Raw,MR-O,93,180.0,117.5,187.5,485.0
Wilmer Zavala,M,SBD,Raw,MR-O,105,170.0,107.5,177.5,455.0
Anthony Wilcockson,M,SBD,Raw,Open,120+,205.0,105.0,230.0,540.0
Gregorio Villao,M,SBD,Raw,Masters 2,66,140.0,95.0,145.0,380.0
James Crosbie,M,SBD,Raw,M-C-Open,105,192.5,132.5,260.0,585.0
Tom Vestvik,M,SBD,Raw,Masters 40-49,83,140.0,-100.0,-160.0,-120.0
Brittany Turner,F,SBD,Raw,FR-O,84,115.0,67.5,145.0,327.5
Claudia Gallin,F,SBD,Single-ply,Open,63,70.0,-100.0,120.0,90.0
Azouaou Slila,M,SBD,Raw,Sub-Juniors,74,180.0,100.0,200.0,480.0
Brenda Kuhns,F,SBD,Raw,FR-M1a,84+,-120.0,85.0,132.5,97.5
Luca Melluzzo,M,SBD,Raw,Senior,93,220.0,160.0,220.0,600.0
Karrin Arries,F,SBD,Raw,FR-O,63,110.0,62.5,120.0,292.5
Camryn Ochs,F,SBD,Single-ply,F-V,75,137.5,77.5,135.0,350.0
Karina Kuznetsovskaya,F,SBD,Single-ply,Open,52,40.0,30.0,55.0,125.0
Dylan Hoye,M,SBD,Raw,MR-Jr,93,177.5,125.0,200.0,502.5
Tony Wightman,M,SBD,Raw,M-C-M3,83,130.0,80.0,165.0,375.0
Sam Harvey #2,M,SBD,Raw,MR-T1,83,137.5,-92.5,157.5,202.5
Stefanie Obereder,F,SBD,Raw,Open,84+,147.5,77.5,165.0,390.0
Manson Adagu,M,SBD,Raw,MR-Jr,83,227.5,155.0,260.0,642.5
Jürgen Nemeth,M,SBD,Single-ply,Open,56,205.0,115.0,215.0,535.0
Quinton Quinn-Tanner,M,SBD,Raw,MR-O,120,-150.0,125.0,220.0,195.0
Laurent Marsolais,M,SBD,Raw,Juniors,83,225.0,145.0,245.0,615.0
Richard Cousins,M,SBD,Raw,MR-O,74,140.0,100.0,177.5,417.5
Joe Ladnier,M,SBD,Single-ply,Teen 16-17,90,275.0,177.5,267.5,720.0
Wesley Launey,M,SBD,Single-ply,M-O,74,230.0,155.0,-230.0,155.0
Chiyti Chibaco,M,SBD,Raw,Seniors,105,200.0,140.0,240.0,580.0
Andreas Pauluth,M,SBD,Single-ply,Juniors,100,-230.0,140.0,230.0,140.0
Marina Zimina,F,SBD,Single-ply,Open,67.5,110.0,62.5,140.0,312.5
Mattia Giaretto,M,SBD,Raw,Sub-Junior,93,-200.0,-105.0,215.0,-90.0
Jamie Ball,M,SBD,Raw,MR-Jr,83,-25.0,-140.0,-75.0,-240.0
Lachlan Ash,M,SBD,Raw,Open,120,-110.0,70.0,150.0,110.0
Frank Stamboolian Jr,M,SBD,Raw,Masters 4,74,70.0,90.0,142.5,302.5
Cameron D'Amours,M,SBD,Raw,Juniors,83,230.0,142.5,235.0,607.5
Alexander Pfaff,M,SBD,Raw,Masters 1,93,205.0,142.5,215.0,562.5
Audun Kvitvær,M,SBD,Single-ply,Teen 14-18,74,180.0,115.0,180.0,475.0
Michal Svinčák,M,SBD,Single-ply,Dorastenci,83,100.0,50.0,125.0,275.0
Emily Martin,F,SBD,Raw,FR-O,63,68.0,31.8,90.7,190.5
Andyn Grubb,M,SBD,Raw,MR-V,74,170.0,125.0,217.5,512.5
Amanda Padgett,F,SBD,Raw,FR-O,56,92.5,52.5,132.5,277.5
Jasmin Hübler,F,SBD,Raw,Youth A,63,110.0,70.0,105.0,285.0
