Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Josee Doyle,F,SBD,Raw,Sub-Juniors,52,72.5,37.5,90.0,200.0
Chantelle Campling,F,SBD,Raw,FR-M2,84+,105.0,67.5,135.0,307.5
Thomas Hickman,M,SBD,Raw,Sub-Juniors,83,147.5,80.0,200.0,427.5
Corey Taylor,M,SBD,Single-ply,M-V,60,157.5,102.5,160.0,420.0
Vladimir Jović,M,SBD,Raw,O,74,115.0,115.0,120.0,350.0
Wassem Anwar Mohsen,M,SBD,Raw,Open,59,197.5,120.0,225.0,542.5
Alonso Rodriguez,M,SBD,Raw,MR-Jr,74,-197.5,-115.0,222.5,-90.0
Timo Leskinen,M,SBD,Raw,Over 40,120+,230.0,-150.0,230.0,310.0
Sanna-Mari Jauhola,F,SBD,Raw,Over 40,52,80.0,37.5,95.0,212.5
Jonathan Alessi,M,SBD,Raw,MR-O,83,170.0,107.5,185.0,462.5
Joseph Delvaux,M,SBD,Raw,MR-Jr,93,215.0,135.0,265.0,615.0
Clément Lomberget,M,SBD,Raw,Juniors,74,160.0,102.5,170.0,432.5
Joe Richards,M,SBD,Raw,MR-Jr,93,220.0,120.0,-235.0,105.0
Luke Watson,M,SBD,Raw,MR-Sj,74,130.0,110.0,160.0,400.0
Danielle Moeckel,F,SBD,Raw,FR-O,52,87.5,45.0,115.0,247.5
Brianna Ritchie,F,SBD,Raw,FR-Y,43,17.5,15.0,42.5,75.0
Göksu Sarıca,F,SBD,Raw,FR-O,69,115.0,45.0,120.0,280.0
Tetyana Skrypka,F,SBD,Single-ply,Sub-Juniors,75,-215.0,135.0,200.0,120.0
Tyler Capps,M,SBD,Raw,MR-O,83,195.0,125.0,192.5,512.5
Atle Edvardsen,M,SBD,Single-ply,Open,90,270.0,165.0,275.0,710.0
Ryan Lee #2,M,SBD,Raw,MR-O,93,170.0,90.0,182.5,442.5
Alexander Hansen,M,SBD,Raw,Teen 14-18,120,145.0,90.0,180.0,415.0
Joe Lucio,M,SBD,Raw,MR-M3b,100,140.0,95.0,160.0,395.0
Garcia Walter,M,SBD,Raw,Masters 1,105,215.0,170.0,190.0,575.0
Susanne Raukola,F,SBD,Raw,Under 17,63,95.0,50.0,105.0,250.0
管巧梅,F,SBD,Raw,Open,52,120.0,-45.0,140.0,215.0
Rugilė Murauskaitė,F,SBD,Raw,Sub-Junior,63+,70.0,37.5,95.0,202.5
Patryk Ogorzałek,M,SBD,Raw,Juniorzy do lat 20,74,190.0,-110.0,220.0,300.0
Jean Canestrier,M,SBD,Raw,Masters 2,74,140.0,90.0,160.0,390.0
Tyson Montoya,M,SBD,Raw,MR-C,93,202.5,125.0,215.0,542.5
Artem Tsarkov,M,SBD,Single-ply,Sub-Juniors,52,120.0,-60.0,120.0,180.0
Cassandra Concepcion,F,SBD,Raw,FR-Jr,72,-107.5,47.5,130.0,70.0
Mitchell Fountain,M,SBD,Raw,MR-C,105,245.0,147.5,267.5,660.0
Róbert Valach,M,SBD,Single-ply,Juniors,120,340.0,-220.0,320.0,440.0
Aleksander Tokarek,M,SBD,Raw,Seniorzy,66,80.0,60.0,100.0,240.0
Michael Sivels,M,SBD,Raw,MR-O,105,195.0,130.0,215.0,540.0
María Estela Cuervo Usano,F,SBD,Raw,SNR,52,-125.0,60.0,130.0,65.0
Sahil Shah #2,M,SBD,Raw,MR-Sj,66,-130.0,80.0,175.0,125.0
Oscar Bissonnet,M,SBD,Raw,Cadet,83,35.0,27.5,45.0,107.5
Jill Joiner-Wong,F,SBD,Raw,FR-O,67.5,117.5,75.0,127.5,320.0
Marzia Girardi,F,SBD,Raw,Master II,52,90.0,52.5,130.0,272.5
Aleksandar Živković,M,SBD,Raw,J,93,145.0,100.0,190.0,435.0
Shelli Poe,F,SBD,Raw,FR-M,63,87.5,50.0,105.0,242.5
David Arcemant,M,SBD,Raw,MR-O,105,160.0,125.0,205.0,490.0
Alberto Borrella Díaz,M,SBD,Raw,JUN,93,-190.0,130.0,-230.0,-290.0
Alexander De Roeck,M,SBD,Raw,Open,83,177.5,102.5,202.5,482.5
Andrea Gonzales,F,SBD,Single-ply,F-C,60,102.5,-65.0,97.5,135.0
Sami Siltala,M,SBD,Raw,Masters 1,74,175.0,135.0,230.0,540.0
Ivan Kondratyuk,M,SBD,Single-ply,Teen 12-14,47,65.0,40.0,85.0,190.0
William Garcia #1,M,SBD,Single-ply,M-O,66,75.0,185.0,75.0,335.0
Antti Timonen,M,SBD,Single-ply,Masters 1,100,230.0,160.0,235.0,625.0
Corbon Moss,M,SBD,Raw,MR-T2,93,160.0,102.5,220.0,482.5
Markus Granö,M,SBD,Raw,Over 40,120,210.0,140.0,260.0,610.0
Victor Violette,M,SBD,Raw,Sub-Juniors,93,230.0,142.5,250.0,622.5
Kanut Wünsch,M,SBD,Single-ply,Aktive,67.5,180.0,100.0,-210.0,70.0
Patrick Lackner,M,SBD,Raw,Open,93,150.0,-130.0,235.0,255.0
Aaron Armstrong,M,SBD,Single-ply,M-C,75,222.5,157.5,210.0,590.0
Robin Lizandro Geronimo Marquez,M,SBD,Raw,Open,105,-142.88,83.91,165.56,106.59
Aleksandr Kirienko,M,SBD,Single-ply,Open,74,95.0,-95.0,120.0,120.0
Zulma Bueno,F,SBD,Raw,Masters 1,63,60.0,-30.0,70.0,100.0
Chambrin Nicolas Francois,M,SBD,Raw,Open,105,-120.0,75.0,150.0,105.0
Synnøve Lund,F,SBD,Single-ply,Open,67.5,167.5,100.0,155.0,422.5
Vyacheslav Terzov,M,SBD,Single-ply,Masters 3,82.5,-200.0,100.0,200.0,100.0
Nikola Bijuk,M,SBD,Raw,Juniors,74,150.0,105.0,185.0,440.0
Nina Heikkinen,F,SBD,Raw,Sub-Juniors,76,155.0,62.5,140.0,357.5
Jordan McLaughlin,M,SBD,Raw,Open,120+,305.0,210.0,295.0,810.0
Samantha Mello,F,SBD,Raw,FR-O,84,-130.0,65.0,147.5,82.5
Jermaine Seymonson,M,SBD,Raw,Open,105,-160.0,135.0,210.0,185.0
Brendan Coombs,M,SBD,Raw,Open,120+,260.0,145.0,220.0,625.0
Andrey Tsvetkov,M,SBD,Single-ply,Juniors,90,207.5,140.0,220.0,567.5
Dmitriy Levchenko,M,SBD,Single-ply,Open,74,-205.0,100.0,180.0,75.0
Di Ke Wu,M,SBD,Raw,Juniors,74,190.0,-152.5,245.0,282.5
Danielle Moss,F,SBD,Raw,FR-O,84,-127.5,72.5,132.5,77.5
Diarmuid O'Suilleabhain,M,SBD,Raw,M-O,93,210.0,125.0,255.0,590.0
Sabbas Pourpouridis,M,SBD,Raw,Open,105,-215.0,117.5,220.0,122.5
Linda Jensen,F,SBD,Raw,Masters 2,57,100.0,62.5,147.5,310.0
Sophie Duckworth,F,SBD,Raw,FR-Sj,69,55.0,50.0,70.0,175.0
Charles Heller,M,SBD,Raw,MR-HS,66,112.5,85.0,117.5,315.0
Madalina Stefan,F,SBD,Raw,SNR,63,115.0,60.0,115.0,290.0
Andrew Spiers,M,SBD,Single-ply,M-E-G,93,255.0,180.0,270.0,705.0
Jackson Morris,M,SBD,Raw,MR-O,66,137.5,92.5,160.0,390.0
Jack Leacock,M,SBD,Raw,MR-Jr,93,185.0,110.0,205.0,500.0
Mykelle Doud,F,SBD,Raw,Sub-Juniors,84+,120.0,67.5,135.0,322.5
Alex Richardson,M,SBD,Single-ply,Open,120,180.0,165.0,230.0,575.0
Anthony Contoleon,M,SBD,Raw,Open,105,195.0,135.0,220.0,550.0
Andriy Semenkov,M,SBD,Single-ply,Open,100,-220.0,-160.0,215.0,-165.0
Andrei Petcu,M,SBD,Raw,Juniors,83,-230.0,155.0,255.0,180.0
Titouan Lafforgue,M,SBD,Raw,Juniors,66,200.0,112.5,215.0,527.5
Dalibor Jovanović,M,SBD,Raw,J,74,-100.0,100.0,145.0,145.0
Danielle Rios,F,SBD,Raw,FR-O,72,100.0,65.0,112.5,277.5
John Endoso,M,SBD,Raw,Open,105,-217.5,-110.0,217.5,-110.0
Jen Avarell,F,SBD,Raw,FR-O,57,115.0,70.0,135.0,320.0
Anton Coltsov,M,SBD,Raw,Sub-Juniors,105,172.5,105.0,192.5,470.0
Muhammad Faisal Bin Samsudin,M,SBD,Raw,Men's Raw Junior,66,165.0,120.0,220.0,505.0
Päivi Kumpulainen,F,SBD,Single-ply,Juniors,75,-140.0,82.5,135.0,77.5
Aleksey Belousov,M,SBD,Single-ply,Open,82.5,235.0,170.0,255.0,660.0
Hunter Griffin,M,SBD,Raw,MR-O,105,-192.5,-97.5,192.5,-97.5
Sabine Ehrlicher,F,SBD,Single-ply,Masters 1,67.5,90.0,45.0,110.0,245.0
Aynsley Saucier,F,SBD,Single-ply,F-O,63,90.7,45.4,122.5,258.6
Julie Hall,F,SBD,Raw,FR-M1,84+,60.0,42.5,87.5,190.0
Nirit Michaeli,F,SBD,Raw,Open,52,-80.0,40.0,102.5,62.5
Nirujan Shanmugavadivei,M,SBD,Raw,M-C-Open,74,-195.0,-95.0,-232.5,-522.5
Jared Bowens,M,SBD,Raw,MR-T3,74,142.5,87.5,190.0,420.0
Jassin Andre Aarsteinsen Darei,M,SBD,Raw,Juniors 19-23,105,240.0,155.0,250.0,645.0
Ethan Allsup,M,SBD,Raw,MR-G,93,142.5,-87.5,192.5,247.5
Jared Gafke,M,SBD,Raw,MR-O,74,152.5,97.5,182.5,432.5
Husman Hussain,M,SBD,Raw,Open,74,150.0,95.0,212.5,457.5
Brent Verkooijen,M,SBD,Raw,Juniors,93,200.0,132.5,240.0,572.5
Mikhail Shatunov,M,SBD,Raw,Open,74,120.0,105.0,160.0,385.0
Alexandr Kuramshin,M,SBD,Raw,Open,66,170.0,110.0,200.0,480.0
Tommy Herheim,M,SBD,Raw,Masters 50-59,93,165.0,125.0,205.0,495.0
Benjamin Yu,M,SBD,Raw,Open,66,-167.5,125.0,-197.5,-240.0
Daniel Stojanoski,M,SBD,Raw,Open,56,80.0,-52.5,120.0,147.5
Sloan Toth,M,SBD,Raw,MR-Jr,82.5,127.5,95.0,172.5,395.0
Brad Gillingham,M,SBD,Raw,MR-O,125+,300.0,230.0,345.0,875.0
Ilkka Launonen,M,SBD,Raw,Masters 3,93,155.0,150.0,195.0,500.0
Ronan Bell,M,SBD,Raw,M-C-M2,74,160.0,110.0,180.0,450.0
Chris Reich,M,SBD,Raw,MR-O,105,132.5,85.0,167.5,385.0
Lilou Bellaunay,F,SBD,Raw,Sub-Juniors,57,70.0,40.0,77.5,187.5
Andrew Keller,M,SBD,Raw,MR-T3,83,-185.0,130.0,210.0,155.0
Sovannphaktra Pal,F,SBD,Raw,Seniors,57,120.0,62.5,142.5,325.0
Justin Quedado,M,SBD,Raw,Open,74,225.0,155.0,282.5,662.5
Alex Orwin,M,SBD,Raw,Open,105,227.5,150.0,255.0,632.5
Carlo E Melendez,M,SBD,Single-ply,M-O,74,-247.5,-197.5,225.0,-220.0
Frederic Larose,M,SBD,Raw,Open,74,160.0,115.0,190.0,465.0
Veronika Zemková,F,SBD,Raw,Juniors,84,135.0,75.0,140.0,350.0
Benjamin Baldwin,M,SBD,Single-ply,Teen 14-18,100,185.0,-110.0,185.0,260.0
Donna Elder,F,SBD,Raw,F-C-Open,84,110.0,47.5,130.0,287.5
Kristi Polizzano,F,SBD,Raw,FR-T3,48,85.0,60.0,110.0,255.0
Anika S Nielsen,F,SBD,Raw,Open,69,110.0,50.0,130.0,290.0
Tatyana Popova,F,SBD,Single-ply,Juniors,52,70.0,-45.0,75.0,100.0
Megan Plouffe,F,SBD,Raw,Juniors,63,102.5,-57.5,115.0,160.0
Alexander Diepold,M,SBD,Single-ply,Masters 4,66,130.0,95.0,135.0,360.0
Eva Wolff,F,SBD,Single-ply,Open,72,90.0,52.5,125.0,267.5
Kelly Schlobohm,F,SBD,Single-ply,F-M2,63,145.0,82.5,175.0,402.5
Devin Jackson,M,SBD,Raw,MR-Jr,93,242.5,130.0,222.5,595.0
鈴木 一裕,M,SBD,Single-ply,Open,67.5,180.0,90.0,170.0,440.0
Jessica Doyle,F,SBD,Raw,FR-T2,84+,90.0,45.0,120.0,255.0
Fiona Mcdonogh,F,SBD,Raw,Open,84+,-145.0,62.5,115.0,32.5
Joana Pereira,F,SBD,Raw,Masters 2,84,110.0,40.0,100.0,250.0
Steven Milioto-Crowe,M,SBD,Raw,MR-T2,66,172.5,95.0,187.5,455.0
Kyle Chin Shue,M,SBD,Raw,MR-O,105,172.5,112.5,220.0,505.0
Ayla Murray,F,SBD,Raw,Juniors,84+,90.0,47.5,100.0,237.5
Maxence Babcamik,M,SBD,Raw,Sub-Juniors,74,85.0,60.0,120.0,265.0
Tibor Kreizler,M,SBD,Raw,Open,120,182.5,132.5,210.0,525.0
Erik Němec,M,SBD,Raw,Juniors,93,247.5,140.0,295.0,682.5
Dave Jacoby,M,SBD,Single-ply,Open,110,-365.0,-202.5,322.5,-245.0
Phonaek Meepalang,M,SBD,Raw,Juniors,74,197.5,100.0,225.0,522.5
John Ivar Pettersen,M,SBD,Single-ply,Teen 14-18,74,195.0,125.0,195.0,515.0
Justyna Szarek,F,SBD,Raw,Seniorki,69,165.0,95.0,-180.0,80.0
Francis Martineau,M,SBD,Raw,Open,105,265.0,147.5,250.0,662.5
Cathy Phatien,F,SBD,Raw,Seniors,47,85.0,47.5,100.0,232.5
Dave Brown #2,M,SBD,Raw,M-C-M3,66,82.5,67.5,-122.5,27.5
Andrey Petrov,M,SBD,Single-ply,Open,100,280.0,190.0,270.0,740.0
Jarren Vizena,M,SBD,Single-ply,M-O,74,122.5,65.0,142.5,330.0
Michael Mcauley-MacDonald,M,SBD,Raw,MR-V,66,175.0,110.0,175.0,460.0
Bilal Abdelwahed,M,SBD,Raw,Open,93,-160.0,105.0,180.0,125.0
Peter Byrne,M,SBD,Raw,MR-O,93,-190.0,135.0,210.0,155.0
Timothy Bagla,M,SBD,Single-ply,M-J,66,185.0,-110.0,192.5,267.5
Kjell Korneliussen,M,SBD,Single-ply,Open,83,130.0,140.0,170.0,440.0
Everardo Crispin,M,SBD,Raw,MR-Jr,74,260.0,165.0,265.0,690.0
James Almachi,M,SBD,Single-ply,Juniors,53,-180.0,90.0,195.0,105.0
Meghan Hogan,F,SBD,Raw,FR-O,72,-125.0,82.5,147.5,105.0
Otto Manninen,M,SBD,Raw,Open,105,195.0,135.0,215.0,545.0
内山 新太郎,M,SBD,Raw,Masters 4,59,100.0,65.0,140.0,305.0
Timo Rantala,M,SBD,Raw,Masters 2,120+,175.0,140.0,200.0,515.0
Sarah Rosåsen,F,SBD,Raw,Juniors 19-23,84+,145.0,100.0,160.0,405.0
Bartosz Gamszej,M,SBD,Raw,Seniorzy,83,50.0,-50.0,60.0,60.0
Kayley Phillips,F,SBD,Raw,Open,52,110.0,55.0,150.0,315.0
Abdullah Sami Qashqary,M,SBD,Raw,Sub-Juniors,83,162.5,107.5,172.5,442.5
Peter Spence,M,SBD,Raw,MR-O,120,190.0,110.0,227.5,527.5
Eric Desmoulin,M,SBD,Raw,Masters 2,105,192.5,135.0,215.0,542.5
Christine Dutrow,F,SBD,Raw,FR-O,63,100.0,52.5,122.5,275.0
Charito A Kløvstad,F,SBD,Raw,Masters +70,57,67.5,37.5,110.0,215.0
Dmytro Solovyov,M,SBD,Single-ply,Open,75,195.0,150.0,220.0,565.0
Katie Ramsay,F,SBD,Raw,Open,63,137.5,80.0,160.0,377.5
Andrew Morris,M,SBD,Raw,MR-T2,93,180.0,135.0,207.5,522.5
Egil Fredriksen,M,SBD,Raw,Masters 60-69,93,112.5,130.0,140.0,382.5
Jacob Cook,M,SBD,Raw,MR-Sj,93,132.5,92.5,177.5,402.5
Abhirami M. V,F,SBD,Raw,Open,84,160.0,70.0,155.0,385.0
Romain Picot-Guéraud,M,SBD,Single-ply,Juniors,75,255.0,150.0,240.0,645.0
Wiggo Kalsås,M,SBD,Raw,Juniors 19-23,93,160.0,90.0,190.0,440.0
Ian Lucy,M,SBD,Raw,MR-Jr,120,242.5,-145.0,265.0,362.5
Ashley Armstrong #2,F,SBD,Raw,FR-O,63,102.5,62.5,157.5,322.5
Tatyana Fomina,F,SBD,Single-ply,Masters 2,67.5,-145.0,60.0,142.5,57.5
Christian Bartolomei,M,SBD,Raw,MR-O,83,200.0,135.0,230.0,565.0
Ramis Bakhshaliev,M,SBD,Single-ply,Juniors,67.5,150.0,110.0,-180.0,80.0
Jérémy Vallerand,M,SBD,Raw,Open,120,-325.0,185.0,-310.0,-450.0
Alex Johnson #3,M,SBD,Raw,MR-T3,83,-137.5,92.5,150.0,105.0
Anna Komárková,F,SBD,Single-ply,Open,69,130.0,85.0,110.0,325.0
Jari Nurminen,M,SBD,Raw,Over 40,120,190.0,120.0,200.0,510.0
Trish Muldrock,F,SBD,Raw,Masters 4,47,75.0,58.0,120.0,253.0
Branislav Vanga,M,SBD,Raw,Juniori,105,200.0,160.0,250.0,610.0
Ryan Carriedo,M,SBD,Raw,Juniors,83,187.5,105.0,220.0,512.5
Ritika Borah,F,SBD,Raw,Open,57,107.5,50.0,125.0,282.5
Tom Andrews,M,SBD,Raw,M-C-Open,105,190.0,122.5,217.5,530.0
Marc Guerrero Mayorga,M,SBD,Raw,Open,105,135.0,90.0,185.0,410.0
Keith Miller,M,SBD,Raw,Juniors,105,215.0,140.0,250.0,605.0
Emanuele Chirico,M,SBD,Raw,Senior,83,190.0,135.0,210.0,535.0
Maxime Gorre,M,SBD,Raw,Juniors,93,180.0,115.0,222.5,517.5
Dorian Thiery,M,SBD,Raw,Seniors,105,285.0,165.0,285.0,735.0
鳥山 龍実,M,SBD,Single-ply,Open,74,170.0,140.0,190.0,500.0
Liz Rodriguez,F,SBD,Raw,Sub-Juniors,69,80.0,35.0,100.0,215.0
Kevin Shepard,M,SBD,Single-ply,Open,100,317.5,217.5,315.0,850.0
Emil Andexlinger,M,SBD,Raw,Open,120+,260.0,190.0,260.0,710.0
Jonathan Murphy #4,M,SBD,Raw,MR-O,105,175.0,95.0,195.0,465.0
Oleksandr Kotendzhi,M,SBD,Single-ply,Open,82.5,270.0,160.0,260.0,690.0
Chris Meyers,M,SBD,Single-ply,M-O,83,225.0,155.0,205.0,585.0
Gabriela Martinez,F,SBD,Raw,Sub-Juniors,84+,90.0,35.0,95.0,220.0
Shay Donald,F,SBD,Raw,FR-M1a,69,82.5,50.0,97.5,230.0
Yuriy Stepanov,M,SBD,Single-ply,Open,83,300.0,165.0,260.0,725.0
Diego José Del Valle Almoguera,M,SBD,Raw,JUN,93,-150.0,92.5,200.0,142.5
Kristine Løvås,F,SBD,Raw,Open,63,70.0,60.0,90.0,220.0
Enzo Luis Salvatore Zappavigna Ongolo-Mballa,M,SBD,Raw,Sub-Juniors,53,125.0,-97.5,-210.0,-182.5
Denisa Turková,F,SBD,Single-ply,Open,57,115.0,65.0,90.0,270.0
Thomas Krzwida,M,SBD,Single-ply,Masters 1,105,-220.0,155.0,220.0,155.0
Washington Faatauvaa,M,SBD,Single-ply,Open,90,-130.0,-70.0,-130.0,-330.0
Markus Köberle,M,SBD,Single-ply,Open,83,200.0,135.0,220.0,555.0
Terry Hedstrom,M,SBD,Single-ply,M-M3b,110,25.0,102.5,165.0,292.5
Dante Citizen,M,SBD,Single-ply,M-TJ,67.5,180.0,115.0,210.0,505.0
Rob MacKenzie,M,SBD,Raw,Masters 2,83,140.0,100.0,175.0,415.0
Lubna El Lawand,F,SBD,Raw,Open,57,105.0,62.5,135.0,302.5
Harry Heatherington-welch,M,SBD,Raw,Open,105,190.0,160.0,207.5,557.5
Yuliya Bushuyeva,F,SBD,Single-ply,Juniors,82.5,115.0,50.0,125.0,290.0
Helen Trenerry,F,SBD,Raw,Masters 3,57,-80.0,50.0,120.0,90.0
Andy Askow,M,SBD,Raw,Open,120+,335.0,212.5,297.5,845.0
Chiara Deciantis,F,SBD,Raw,Junior,63,105.0,57.5,132.5,295.0
Andrew Grambow,M,SBD,Single-ply,M-Sj,105,200.0,75.0,200.0,475.0
Alex Merritt,M,SBD,Raw,MR-SO,67.5,60.0,60.0,92.5,212.5
Anatoliy Arkhangelskiy,M,SBD,Single-ply,Open,90,-330.0,175.0,280.0,125.0
Gwenn Culbertson,F,SBD,Single-ply,F-M1,63,77.5,52.5,100.0,230.0
Teddy Pearson,M,SBD,Raw,MR-Sj,105,207.5,147.5,210.0,565.0
Marjo-Riitta Mansikka,F,SBD,Raw,Over 50,63,-60.0,42.5,80.0,62.5
Chuck Akers,M,SBD,Single-ply,M-M2b,93,195.0,145.0,202.5,542.5
Piotr Jakimiuk,M,SBD,Raw,Seniorzy,74,235.0,-160.0,260.0,335.0
Loic Mboukpemade,M,SBD,Raw,Cadet,53,-80.0,40.0,115.0,75.0
Matthew Lee Ming Kai,M,SBD,Raw,Open,74,212.5,132.5,240.0,585.0
Jari Ahvo,M,SBD,Raw,Over 50,105,100.0,105.0,180.0,385.0
Adam Gault,M,SBD,Raw,MR-Sj,93,-170.0,110.0,220.0,160.0
Rebecca Kennwood,F,SBD,Raw,Open,84,-125.0,72.5,145.0,92.5
Darren Neves,M,SBD,Single-ply,Open,105,255.0,180.0,200.0,635.0
Emmanuel Agyemang,M,SBD,Raw,MR-Jr,83,175.0,130.0,232.5,537.5
Jens Holschbach,M,SBD,Raw,Open,93,185.0,122.5,210.0,517.5
Peter Robertson,M,SBD,Raw,Masters 1,93,190.0,115.0,205.0,510.0
Anne-Marije van der Linden,F,SBD,Raw,Open,69,115.0,60.0,125.0,300.0
Emilio Madera Valerio,M,SBD,Raw,MR-O,105,100.0,65.0,145.0,310.0
Andrzei Lendo,M,SBD,Single-ply,Weterani 40-49 lat,120+,220.0,-205.0,235.0,250.0
Elias Kuusikko,M,SBD,Raw,Open,59,70.0,60.0,100.0,230.0
István Standinger,M,SBD,Raw,Masters 3,120,175.0,120.0,220.0,515.0
Byron Cesar Omar Tziboy Batz,M,SBD,Raw,Sub-Juniors,53,65.77,43.09,83.91,192.76999999999998
Jenniford Pofagi,M,SBD,Raw,Seniors,105,275.0,-157.5,262.5,380.0
Lim Jian Yew,M,SBD,Raw,Men's Raw Junior,105,195.0,130.0,240.0,565.0
Andrey Aleksandrov,M,SBD,Raw,Open,74,-130.0,85.0,190.0,145.0
Melissa Forbis,F,SBD,Raw,Masters 2,52,97.5,52.5,107.5,257.5
Taylor Becker,M,SBD,Raw,Juniors,105,200.0,110.0,215.0,525.0
Paul Rieger,M,SBD,Raw,Open,83,195.0,127.5,195.0,517.5
Sergey Dekhtyarev,M,SBD,Single-ply,Open,100,265.0,-165.0,260.0,360.0
Jasmine Brewer,F,SBD,Single-ply,Freshman/Sophomore,56,92.5,47.5,122.5,262.5
Jennifer Keane,F,SBD,Single-ply,Open,90+,185.0,105.0,175.0,465.0
Marie-eve Martin,F,SBD,Raw,Juniors,69,87.5,45.0,105.0,237.5
Kimberly Swett,F,SBD,Raw,FR-G,84+,-137.5,77.5,-185.0,-245.0
Hamad Muhammad Al-Arifi,M,SBD,Raw,Open,105,162.5,82.5,140.0,385.0
Mohammad Subbah,M,SBD,Raw,Open,66,100.0,115.0,140.0,355.0
Bret Oswald,M,SBD,Raw,MR-O,120,272.5,145.0,295.0,712.5
Hung Phan,M,SBD,Raw,Open,93,245.0,160.0,290.0,695.0
Gabrielė Butautaitė,F,SBD,Raw,FR-O,72,117.5,-70.0,135.0,182.5
Mateo Tristan Freihow,M,SBD,Raw,Teen 14-18,83,155.0,90.0,-170.0,75.0
Nathan Ernou,M,SBD,Raw,Juniors,74,137.5,90.0,180.0,407.5
Julian Nguyen,M,SBD,Raw,MR-Jr,74,157.5,115.0,-207.5,65.0
Eirik Vassdal Sætervik,M,SBD,Raw,Open,66,97.5,82.5,100.0,280.0
Tim Cuppens,M,SBD,Raw,Open,93,215.0,155.0,225.0,595.0
Ville Majava,M,SBD,Raw,Open,105,170.0,150.0,220.0,540.0
Kevin Nguyen #11,M,SBD,Raw,Juniors,83,167.5,110.0,200.0,477.5
Lukas Stravinskas,M,SBD,Raw,Junior,83,170.0,92.5,185.0,447.5
Beverly Crawford,F,SBD,Single-ply,Juniors,72,170.0,-77.5,165.0,257.5
Tobias Hartl,M,SBD,Raw,Open,93,205.0,140.0,225.0,570.0
Matthew Martin,M,SBD,Raw,MR-O,83,162.5,102.5,177.5,442.5
Adam Kiernan,M,SBD,Raw,M-C-Open,93,200.0,110.0,230.0,540.0
Zoraida Bermúdez Doce,F,SBD,Raw,M1,63,130.0,90.0,155.0,375.0
Benjamin Roussopoulos,M,SBD,Raw,MR-JV,83,-112.5,82.5,157.5,127.5
Thomas Seitz,M,SBD,Raw,MR-O,66,130.0,80.0,145.0,355.0
Nicole Smith,F,SBD,Raw,Open,63,105.0,-50.0,115.0,170.0
Thorsten Krug,M,SBD,Single-ply,Open,125+,260.0,180.0,240.0,680.0
Brian Odurukwe,M,SBD,Raw,Juniors,83,220.0,137.5,240.0,597.5
Scarlet Francis,F,SBD,Raw,FR-M3,52,67.5,42.5,92.5,202.5
Sebastian Atzori,M,SBD,Raw,Open,83,-180.0,110.0,205.0,135.0
Rebekah Fontana,F,SBD,Raw,Open,52,70.0,40.0,95.0,205.0
Teemu Mutikainen,M,SBD,Raw,Open,105,265.0,165.0,290.0,720.0
John Pojman,M,SBD,Single-ply,M-O,93,220.0,115.0,225.0,560.0
Lise Reierskog,F,SBD,Raw,Masters 40-49,72,100.0,75.0,120.0,295.0
Józef Cisak,M,SBD,Single-ply,Weterani +70 lat,93,105.0,75.0,125.0,305.0
Trần Hưng Lân,M,SBD,Raw,MR-O,74,-150.0,102.5,185.0,137.5
Dai Weihong,M,SBD,Raw,Masters 1,83,185.0,122.5,205.0,512.5
Mika Juntunen,M,SBD,Raw,Open,74,195.0,125.0,205.0,525.0
Kane Sherrill,M,SBD,Single-ply,M-O,110,145.0,92.5,160.0,397.5
John Walls,M,SBD,Raw,Juniors,93,255.0,180.0,257.5,692.5
Julia Beutel,F,SBD,Raw,Juniors,52,95.0,52.5,125.0,272.5
Jackie Blasbery,F,SBD,Single-ply,F-E-Open,84,140.0,90.0,160.0,390.0
Gary Preteau,M,SBD,Raw,Open,93,205.0,147.5,255.0,607.5
Jonas-René Floß,M,SBD,Single-ply,Youth B,93,60.0,60.0,80.0,200.0
Patrice Mazouz,M,SBD,Raw,Open,74,155.0,90.0,210.0,455.0
Mario Pinna,M,SBD,Single-ply,Master I,105,255.0,177.5,255.0,687.5
Tara Szklenár,F,SBD,Single-ply,Open,63,70.0,50.0,60.0,180.0
Andrey Konovalov #1,M,SBD,Single-ply,Open,120+,455.0,342.5,345.0,1142.5
Mauri Huttunen,M,SBD,Raw,Over 40,120,227.5,165.0,220.0,612.5
Todd Wood,M,SBD,Raw,Open,120,255.0,195.0,267.5,717.5
Caleb Leonard,M,SBD,Raw,MR-O,74,167.5,95.0,190.0,452.5
Iris van Pinxteren,F,SBD,Raw,Open,63,100.0,65.0,130.0,295.0
Yi-Jie Su,F,SBD,Single-ply,Open,47,-165.0,75.0,140.0,50.0
Vasilije Rajović,M,SBD,Raw,O,83,-170.0,125.0,190.0,145.0
Justin Walker,M,SBD,Single-ply,M-O,90,290.0,197.5,287.5,775.0
Andrea Mahdalová,F,SBD,Raw,Juniors,76,135.0,77.5,167.5,380.0
Heidi Tinney,F,SBD,Raw,FR-M1b,63,75.0,47.5,95.0,217.5
高井 真一,M,SBD,Single-ply,Sub-Juniors,66,140.0,100.0,140.0,380.0
Danny Wilton,M,SBD,Raw,Masters 1,120+,100.0,100.0,100.0,300.0
Mona Becker,F,SBD,Single-ply,F-O,84+,67.5,45.0,137.5,250.0
Rose Huang Stegura,F,SBD,Raw,FR-O,57,115.0,62.5,137.5,315.0
